Time (seconds),Speed,Grade,Road Type
0,12.5,-0.010837848119186,No Charging
1,12.5,-0.010837848119186,No Charging
2,5.590708541342673,-0.07124075243215464,No Charging
3,1.900000000000002,-0.103505929868033,No Charging
4,1.900000000000002,-0.103505929868033,No Charging
5,1.900000000000002,-0.103505929868033,No Charging
6,1.900000000000002,-0.103505929868033,No Charging
7,1.900000000000002,-0.103505929868033,No Charging
8,1.900000000000002,-0.103505929868033,No Charging
9,1.900000000000002,-0.103505929868033,No Charging
10,1.900000000000002,-0.103505929868033,No Charging
11,1.900000000000002,-0.103505929868033,No Charging
12,1.900000000000002,-0.103505929868033,No Charging
13,1.900000000000002,-0.103505929868033,No Charging
14,1.900000000000002,-0.103505929868033,No Charging
15,1.900000000000002,-0.103505929868033,No Charging
16,1.900000000000002,-0.103505929868033,No Charging
17,1.900000000000002,-0.103505929868033,No Charging
18,1.900000000000002,-0.103505929868033,No Charging
19,1.900000000000002,-0.103505929868033,No Charging
20,1.900000000000002,-0.103505929868033,No Charging
21,1.900000000000002,-0.103505929868033,No Charging
22,1.900000000000002,-0.103505929868033,No Charging
23,1.900000000000002,-0.103505929868033,No Charging
24,1.900000000000002,-0.103505929868033,No Charging
25,1.900000000000002,-0.103505929868033,No Charging
26,1.900000000000002,-0.103505929868033,No Charging
27,1.900000000000002,-0.103505929868033,No Charging
28,1.900000000000002,-0.103505929868033,No Charging
29,1.900000000000002,-0.103505929868033,No Charging
30,1.900000000000002,-0.103505929868033,No Charging
31,1.900000000000002,-0.103505929868033,No Charging
32,1.900000000000002,-0.103505929868033,No Charging
33,1.900000000000002,-0.103505929868033,No Charging
34,1.900000000000002,-0.103505929868033,No Charging
35,1.900000000000002,-0.103505929868033,No Charging
36,1.900000000000002,-0.103505929868033,No Charging
37,1.900000000000002,-0.103505929868033,No Charging
38,1.900000000000002,-0.103505929868033,No Charging
39,1.8191058482774811,-0.09319490738322327,No Charging
40,1.372222222222221,-0.036233717751683,No Charging
41,1.372222222222221,-0.036233717751683,No Charging
42,1.372222222222221,-0.036233717751683,No Charging
43,1.372222222222221,-0.036233717751683,No Charging
44,1.372222222222221,-0.036233717751683,No Charging
45,1.372222222222221,-0.036233717751683,No Charging
46,1.372222222222221,-0.036233717751683,No Charging
47,1.372222222222221,-0.036233717751683,No Charging
48,1.372222222222221,-0.036233717751683,No Charging
49,1.372222222222221,-0.036233717751683,No Charging
50,1.372222222222221,-0.036233717751683,No Charging
51,1.372222222222221,-0.036233717751683,No Charging
52,1.372222222222221,-0.036233717751683,No Charging
53,1.372222222222221,-0.036233717751683,No Charging
54,1.372222222222221,-0.036233717751683,No Charging
55,1.372222222222221,-0.036233717751683,No Charging
56,1.372222222222221,-0.036233717751683,No Charging
57,1.372222222222221,-0.036233717751683,No Charging
58,1.372222222222221,-0.036233717751683,No Charging
59,1.372222222222221,-0.036233717751683,No Charging
60,1.372222222222221,-0.036233717751683,No Charging
61,1.372222222222221,-0.036233717751683,No Charging
62,1.372222222222221,-0.036233717751683,No Charging
63,1.372222222222221,-0.036233717751683,No Charging
64,1.372222222222221,-0.036233717751683,No Charging
65,1.372222222222221,-0.036233717751683,No Charging
66,1.372222222222221,-0.036233717751683,No Charging
67,1.372222222222221,-0.036233717751683,No Charging
68,1.372222222222221,-0.036233717751683,No Charging
69,1.372222222222221,-0.036233717751683,No Charging
70,1.372222222222221,-0.036233717751683,No Charging
71,1.372222222222221,-0.036233717751683,No Charging
72,1.372222222222221,-0.036233717751683,No Charging
73,1.372222222222221,-0.036233717751683,No Charging
74,1.372222222222221,-0.036233717751683,No Charging
75,1.372222222222221,-0.036233717751683,No Charging
76,1.372222222222221,-0.036233717751683,No Charging
77,1.372222222222221,-0.036233717751683,No Charging
78,1.372222222222221,-0.036233717751683,No Charging
79,1.372222222222221,-0.036233717751683,No Charging
80,1.372222222222221,-0.036233717751683,No Charging
81,1.372222222222221,-0.036233717751683,No Charging
82,1.372222222222221,-0.036233717751683,No Charging
83,1.372222222222221,-0.036233717751683,No Charging
84,1.372222222222221,-0.036233717751683,No Charging
85,1.372222222222221,-0.036233717751683,No Charging
86,1.372222222222221,-0.036233717751683,No Charging
87,1.372222222222221,-0.036233717751683,No Charging
88,1.372222222222221,-0.036233717751683,No Charging
89,1.372222222222221,-0.036233717751683,No Charging
90,1.3591550103232761,-0.019038846627804258,No Charging
91,1.355555555555555,-0.014302399302557,No Charging
92,1.355555555555555,-0.014302399302557,No Charging
93,1.355555555555555,-0.014302399302557,No Charging
94,1.355555555555555,-0.014302399302557,No Charging
95,1.355555555555555,-0.014302399302557,No Charging
96,1.355555555555555,-0.014302399302557,No Charging
97,1.355555555555555,-0.014302399302557,No Charging
98,1.355555555555555,-0.014302399302557,No Charging
99,1.355555555555555,-0.014302399302557,No Charging
100,1.355555555555555,-0.014302399302557,No Charging
101,1.355555555555555,-0.014302399302557,No Charging
102,1.355555555555555,-0.014302399302557,No Charging
103,1.355555555555555,-0.014302399302557,No Charging
104,1.355555555555555,-0.014302399302557,No Charging
105,1.355555555555555,-0.014302399302557,No Charging
106,1.355555555555555,-0.014302399302557,No Charging
107,1.355555555555555,-0.014302399302557,No Charging
108,1.355555555555555,-0.014302399302557,No Charging
109,1.355555555555555,-0.014302399302557,No Charging
110,1.355555555555555,-0.014302399302557,No Charging
