Time (seconds),Speed,Grade,Road Type
0,3.833333333333337,-0.049469106355027,No Charging
1,3.833333333333337,-0.049469106355027,No Charging
2,3.833333333333337,-0.049469106355027,No Charging
3,3.833333333333337,-0.049469106355027,No Charging
4,3.833333333333337,-0.049469106355027,No Charging
5,3.833333333333337,-0.049469106355027,No Charging
6,3.833333333333337,-0.049469106355027,No Charging
7,3.833333333333337,-0.049469106355027,No Charging
8,3.833333333333337,-0.049469106355027,No Charging
9,3.833333333333337,-0.049469106355027,No Charging
10,3.833333333333337,-0.049469106355027,No Charging
11,3.833333333333337,-0.049469106355027,No Charging
12,3.833333333333337,-0.049469106355027,No Charging
13,2.4996680357882504,-0.032632732624236334,No Charging
14,2.152314814814815,-0.028247697896507,No Charging
15,2.152314814814815,-0.028247697896507,No Charging
16,2.152314814814815,-0.028247697896507,No Charging
17,2.152314814814815,-0.028247697896507,No Charging
18,2.152314814814815,-0.028247697896507,No Charging
19,2.152314814814815,-0.028247697896507,No Charging
20,2.152314814814815,-0.028247697896507,No Charging
21,2.152314814814815,-0.028247697896507,No Charging
22,2.152314814814815,-0.028247697896507,No Charging
23,2.152314814814815,-0.028247697896507,No Charging
24,2.152314814814815,-0.028247697896507,No Charging
25,2.152314814814815,-0.028247697896507,No Charging
26,2.152314814814815,-0.028247697896507,No Charging
27,2.152314814814815,-0.028247697896507,No Charging
28,2.152314814814815,-0.028247697896507,No Charging
29,2.152314814814815,-0.028247697896507,No Charging
30,2.152314814814815,-0.028247697896507,No Charging
31,2.152314814814815,-0.028247697896507,No Charging
32,2.152314814814815,-0.028247697896507,No Charging
33,2.152314814814815,-0.028247697896507,No Charging
34,2.152314814814815,-0.028247697896507,No Charging
35,2.152314814814815,-0.028247697896507,No Charging
36,2.152314814814815,-0.028247697896507,No Charging
37,2.152314814814815,-0.028247697896507,No Charging
38,2.152314814814815,-0.028247697896507,No Charging
39,2.152314814814815,-0.028247697896507,No Charging
40,2.152314814814815,-0.028247697896507,No Charging
41,2.152314814814815,-0.028247697896507,No Charging
42,2.152314814814815,-0.028247697896507,No Charging
43,2.152314814814815,-0.028247697896507,No Charging
44,2.152314814814815,-0.028247697896507,No Charging
45,2.152314814814815,-0.028247697896507,No Charging
46,2.152314814814815,-0.028247697896507,No Charging
47,2.152314814814815,-0.028247697896507,No Charging
48,2.152314814814815,-0.028247697896507,No Charging
49,2.152314814814815,-0.028247697896507,No Charging
50,2.152314814814815,-0.028247697896507,No Charging
51,2.152314814814815,-0.028247697896507,No Charging
52,1.1564931745373193,-0.025241849662802858,No Charging
53,0.837962962962963,-0.024280378817908,No Charging
54,0.837962962962963,-0.024280378817908,No Charging
55,0.837962962962963,-0.024280378817908,No Charging
56,0.837962962962963,-0.024280378817908,No Charging
57,0.837962962962963,-0.024280378817908,No Charging
58,0.837962962962963,-0.024280378817908,No Charging
59,0.837962962962963,-0.024280378817908,No Charging
60,0.837962962962963,-0.024280378817908,No Charging
61,0.837962962962963,-0.024280378817908,No Charging
62,0.837962962962963,-0.024280378817908,No Charging
63,0.837962962962963,-0.024280378817908,No Charging
64,0.837962962962963,-0.024280378817908,No Charging
65,0.837962962962963,-0.024280378817908,No Charging
66,0.837962962962963,-0.024280378817908,No Charging
67,0.837962962962963,-0.024280378817908,No Charging
68,0.837962962962963,-0.024280378817908,No Charging
69,0.837962962962963,-0.024280378817908,No Charging
70,0.837962962962963,-0.024280378817908,No Charging
71,0.837962962962963,-0.024280378817908,No Charging
72,0.837962962962963,-0.024280378817908,No Charging
73,0.837962962962963,-0.024280378817908,No Charging
74,0.837962962962963,-0.024280378817908,No Charging
75,0.837962962962963,-0.024280378817908,No Charging
76,0.837962962962963,-0.024280378817908,No Charging
77,0.837962962962963,-0.024280378817908,No Charging
78,0.837962962962963,-0.024280378817908,No Charging
79,0.837962962962963,-0.024280378817908,No Charging
80,0.837962962962963,-0.024280378817908,No Charging
81,0.837962962962963,-0.024280378817908,No Charging
82,0.837962962962963,-0.024280378817908,No Charging
