Time (seconds),Speed,Grade,Road Type
0,3.150000000000003,0.008957073897822,No Charging
1,3.150000000000003,0.008957073897822,No Charging
2,3.150000000000003,0.008957073897822,No Charging
3,3.150000000000003,0.008957073897822,No Charging
4,3.150000000000003,0.008957073897822,No Charging
5,3.150000000000003,0.008957073897822,No Charging
6,3.150000000000003,0.008957073897822,No Charging
7,3.150000000000003,0.008957073897822,No Charging
8,3.150000000000003,0.008957073897822,No Charging
9,3.150000000000003,0.008957073897822,No Charging
10,3.150000000000003,0.008957073897822,No Charging
11,3.0081763518518114,0.006584025467405736,No Charging
12,2.362500000000001,-0.004219682329744,No Charging
13,2.362500000000001,-0.004219682329744,No Charging
14,2.362500000000001,-0.004219682329744,No Charging
15,2.362500000000001,-0.004219682329744,No Charging
16,2.362500000000001,-0.004219682329744,No Charging
17,2.362500000000001,-0.004219682329744,No Charging
18,2.362500000000001,-0.004219682329744,No Charging
19,2.362500000000001,-0.004219682329744,No Charging
20,2.362500000000001,-0.004219682329744,No Charging
21,2.362500000000001,-0.004219682329744,No Charging
22,2.362500000000001,-0.004219682329744,No Charging
23,2.362500000000001,0.005486354012826969,No Charging
24,2.362500000000001,0.008031522384645,No Charging
25,2.362500000000001,0.008031522384645,No Charging
26,2.362500000000001,0.008031522384645,No Charging
27,2.362500000000001,0.008031522384645,No Charging
28,2.362500000000001,0.008031522384645,No Charging
29,2.362500000000001,0.008031522384645,No Charging
30,2.398186918077652,-0.002129554530927963,No Charging
31,2.426100217864926,-0.010077262021073,No Charging
32,2.426100217864926,-0.010077262021073,No Charging
33,2.426100217864926,-0.010077262021073,No Charging
34,2.426100217864926,-0.010077262021073,No Charging
35,2.426100217864926,-0.010077262021073,No Charging
36,2.426100217864926,-0.010077262021073,No Charging
37,2.426100217864926,-0.010077262021073,No Charging
38,2.426100217864926,-0.010077262021073,No Charging
39,2.426100217864926,-0.010077262021073,No Charging
40,2.426100217864926,-0.010077262021073,No Charging
41,2.426100217864926,-0.010077262021073,No Charging
42,2.426100217864926,-0.010077262021073,No Charging
43,2.426100217864926,-0.010077262021073,No Charging
44,2.426100217864926,-0.010077262021073,No Charging
45,2.426100217864926,-0.010077262021073,No Charging
46,2.426100217864926,-0.010077262021073,No Charging
47,2.426100217864926,-0.010077262021073,No Charging
48,2.426100217864926,-0.010077262021073,No Charging
49,2.426100217864926,-0.010077262021073,No Charging
50,2.426100217864926,-0.010077262021073,No Charging
51,2.426100217864926,-0.010077262021073,No Charging
52,2.426100217864926,-0.010077262021073,No Charging
53,2.426100217864926,-0.010077262021073,No Charging
54,2.426100217864926,-0.010077262021073,No Charging
55,2.426100217864926,-0.010077262021073,No Charging
56,2.426100217864926,-0.010077262021073,No Charging
57,2.426100217864926,-0.010077262021073,No Charging
58,2.426100217864926,-0.010077262021073,No Charging
59,2.426100217864926,-0.010077262021073,No Charging
60,2.426100217864926,-0.010077262021073,No Charging
61,2.426100217864926,-0.010077262021073,No Charging
62,2.426100217864926,-0.010077262021073,No Charging
63,2.426100217864926,-0.010077262021073,No Charging
64,2.426100217864926,-0.010077262021073,No Charging
65,2.426100217864926,-0.010077262021073,No Charging
66,2.426100217864926,-0.010077262021073,No Charging
67,2.426100217864926,-0.010077262021073,No Charging
68,2.426100217864926,-0.010077262021073,No Charging
69,2.426100217864926,-0.010077262021073,No Charging
70,2.426100217864926,-0.010077262021073,No Charging
71,2.426100217864926,-0.010077262021073,No Charging
72,2.426100217864926,-0.010077262021073,No Charging
73,2.545960656717158,-0.009685606776133225,No Charging
74,4.713888888888893,-0.002601697598812,No Charging
75,4.713888888888893,-0.002601697598812,No Charging
76,4.713888888888893,-0.002601697598812,No Charging
77,4.713888888888893,-0.002601697598812,No Charging
78,4.713888888888893,-0.002601697598812,No Charging
79,4.713888888888893,-0.002601697598812,No Charging
80,4.713888888888893,-0.002601697598812,No Charging
81,4.713888888888893,-0.002601697598812,No Charging
82,4.713888888888893,-0.002601697598812,No Charging
83,4.713888888888893,-0.002601697598812,No Charging
84,4.713888888888893,-0.002601697598812,No Charging
85,4.713888888888893,-0.002601697598812,No Charging
86,4.713888888888893,-0.002601697598812,No Charging
87,4.713888888888893,-0.002601697598812,No Charging
88,4.713888888888893,-0.002601697598812,No Charging
89,4.713888888888893,-0.002601697598812,No Charging
90,4.713888888888893,-0.002601697598812,No Charging
91,4.713888888888893,-0.002601697598812,No Charging
92,4.713888888888893,-0.002601697598812,No Charging
93,4.713888888888893,-0.002601697598812,No Charging
94,4.713888888888893,-0.002601697598812,No Charging
95,4.713888888888893,-0.002601697598812,No Charging
96,4.713888888888893,-0.002601697598812,No Charging
97,4.713888888888893,-0.002601697598812,No Charging
98,4.713888888888893,-0.002601697598812,No Charging
99,4.713888888888893,-0.002601697598812,No Charging
100,4.713888888888893,-0.002601697598812,No Charging
101,4.713888888888893,-0.002601697598812,No Charging
102,4.713888888888893,-0.002601697598812,No Charging
103,4.713888888888893,-0.002601697598812,No Charging
104,4.713888888888893,-0.002601697598812,No Charging
105,4.713888888888893,-0.002601697598812,No Charging
106,4.713888888888893,-0.002601697598812,No Charging
107,4.713888888888893,-0.002601697598812,No Charging
108,4.713888888888893,-0.002601697598812,No Charging
109,4.713888888888893,-0.002601697598812,No Charging
110,4.713888888888893,-0.002601697598812,No Charging
111,4.713888888888893,-0.002601697598812,No Charging
112,4.713888888888893,-0.002601697598812,No Charging
113,4.713888888888893,-0.002601697598812,No Charging
114,4.713888888888893,-0.002601697598812,No Charging
115,4.713888888888893,-0.002601697598812,No Charging
116,4.713888888888893,-0.002601697598812,No Charging
117,4.713888888888893,-0.002601697598812,No Charging
118,4.713888888888893,-0.002601697598812,No Charging
119,4.713888888888893,-0.002601697598812,No Charging
120,4.713888888888893,-0.002601697598812,No Charging
121,4.713888888888893,-0.002601697598812,No Charging
122,4.713888888888893,-0.002601697598812,No Charging
123,4.713888888888893,-0.002601697598812,No Charging
124,4.713888888888893,-0.002601697598812,No Charging
125,4.713888888888893,-0.002601697598812,No Charging
126,4.713888888888893,-0.002601697598812,No Charging
127,4.713888888888893,-0.002601697598812,No Charging
128,4.713888888888893,-0.002601697598812,No Charging
129,4.713888888888893,-0.002601697598812,No Charging
130,4.713888888888893,-0.002601697598812,No Charging
131,4.713888888888893,-0.002601697598812,No Charging
132,4.713888888888893,-0.002601697598812,No Charging
133,4.713888888888893,-0.002601697598812,No Charging
134,4.713888888888893,-0.002601697598812,No Charging
135,4.170624009145254,0.00023080350769645033,No Charging
136,3.422222222222219,0.004132857493908,No Charging
137,3.422222222222219,0.004132857493908,No Charging
138,3.422222222222219,0.004132857493908,No Charging
139,3.422222222222219,0.004132857493908,No Charging
140,3.422222222222219,0.004132857493908,No Charging
141,3.422222222222219,0.004132857493908,No Charging
142,3.422222222222219,0.004132857493908,No Charging
143,3.422222222222219,0.004132857493908,No Charging
144,3.422222222222219,0.004132857493908,No Charging
145,3.422222222222219,0.004132857493908,No Charging
146,3.422222222222219,0.004132857493908,No Charging
147,3.422222222222219,0.004132857493908,No Charging
148,3.422222222222219,0.004132857493908,No Charging
149,3.422222222222219,0.004132857493908,No Charging
150,3.422222222222219,0.004132857493908,No Charging
151,3.422222222222219,0.004132857493908,No Charging
152,3.422222222222219,0.004132857493908,No Charging
153,3.422222222222219,0.004132857493908,No Charging
154,3.422222222222219,0.004132857493908,No Charging
155,3.422222222222219,0.004132857493908,No Charging
156,3.422222222222219,0.004132857493908,No Charging
157,3.422222222222219,0.004132857493908,No Charging
158,3.422222222222219,0.004132857493908,No Charging
159,3.422222222222219,0.004132857493908,No Charging
160,3.422222222222219,0.004132857493908,No Charging
161,3.422222222222219,0.004132857493908,No Charging
162,3.422222222222219,0.004132857493908,No Charging
163,3.422222222222219,0.004132857493908,No Charging
164,3.422222222222219,0.004132857493908,No Charging
165,3.422222222222219,0.004132857493908,No Charging
166,3.422222222222219,0.004132857493908,No Charging
167,3.422222222222219,0.004132857493908,No Charging
168,3.422222222222219,0.004132857493908,No Charging
169,3.422222222222219,0.004132857493908,No Charging
170,3.422222222222219,0.004132857493908,No Charging
171,3.422222222222219,0.004132857493908,No Charging
172,3.422222222222219,0.004132857493908,No Charging
173,3.422222222222219,0.004132857493908,No Charging
174,3.422222222222219,0.004132857493908,No Charging
175,3.3595286552874946,0.005590031744169995,No Charging
176,3.002151979565773,0.01389646755517,No Charging
177,3.002151979565773,0.01389646755517,No Charging
178,3.002151979565773,0.01389646755517,No Charging
179,3.002151979565773,0.01389646755517,No Charging
