cycSecs,cycMps,cycGrade,cycRoadType
0,3.332407407407405,0.008872505366998,No Charging
1,3.332407407407405,0.008872505366998,No Charging
2,3.332407407407405,0.008872505366998,No Charging
3,3.332407407407405,0.008872505366998,No Charging
4,3.332407407407405,0.008872505366998,No Charging
5,3.332407407407405,0.008872505366998,No Charging
6,3.332407407407405,0.008872505366998,No Charging
7,3.332407407407405,0.008872505366998,No Charging
8,3.332407407407405,0.008872505366998,No Charging
9,3.332407407407405,0.008872505366998,No Charging
10,3.332407407407405,0.008872505366998,No Charging
11,3.332407407407405,0.008872505366998,No Charging
12,3.332407407407405,0.008872505366998,No Charging
13,3.332407407407405,0.008872505366998,No Charging
14,3.332407407407405,0.008872505366998,No Charging
15,3.332407407407405,0.008872505366998,No Charging
16,3.332407407407405,0.008872505366998,No Charging
17,2.5804404844909667,0.0036771376476520913,No Charging
18,1.577777777777779,-0.003250296659759,No Charging
19,1.577777777777779,-0.003250296659759,No Charging
20,1.577777777777779,-0.003250296659759,No Charging
21,1.577777777777779,-0.003250296659759,No Charging
22,1.577777777777779,-0.003250296659759,No Charging
23,1.577777777777779,-0.003250296659759,No Charging
24,1.577777777777779,-0.003250296659759,No Charging
25,1.577777777777779,-0.003250296659759,No Charging
26,1.577777777777779,-0.003250296659759,No Charging
27,1.577777777777779,-0.003250296659759,No Charging
28,1.577777777777779,-0.003250296659759,No Charging
29,1.577777777777779,-0.003250296659759,No Charging
30,1.577777777777779,-0.003250296659759,No Charging
31,1.577777777777779,-0.003250296659759,No Charging
32,1.577777777777779,-0.003250296659759,No Charging
33,1.577777777777779,-0.003250296659759,No Charging
34,1.577777777777779,-0.003250296659759,No Charging
35,1.577777777777779,-0.003250296659759,No Charging
36,1.577777777777779,-0.003250296659759,No Charging
37,1.577777777777779,-0.003250296659759,No Charging
38,1.577777777777779,-0.003250296659759,No Charging
39,1.577777777777779,-0.003250296659759,No Charging
40,1.577777777777779,-0.003250296659759,No Charging
41,1.577777777777779,-0.003250296659759,No Charging
42,1.577777777777779,-0.003250296659759,No Charging
43,1.577777777777779,-0.003250296659759,No Charging
44,1.577777777777779,-0.003250296659759,No Charging
45,1.577777777777779,-0.003250296659759,No Charging
46,1.577777777777779,-0.003250296659759,No Charging
47,1.577777777777779,-0.003250296659759,No Charging
48,1.577777777777779,-0.003250296659759,No Charging
49,1.577777777777779,-0.003250296659759,No Charging
50,1.577777777777779,-0.003250296659759,No Charging
51,1.577777777777779,-0.003250296659759,No Charging
52,1.577777777777779,-0.003250296659759,No Charging
53,1.577777777777779,-0.003250296659759,No Charging
54,1.577777777777779,-0.003250296659759,No Charging
55,1.577777777777779,-0.003250296659759,No Charging
56,1.577777777777779,-0.003250296659759,No Charging
57,1.577777777777779,-0.003250296659759,No Charging
58,1.577777777777779,-0.003250296659759,No Charging
59,1.577777777777779,-0.003250296659759,No Charging
60,1.577777777777779,-0.003250296659759,No Charging
61,1.577777777777779,-0.003250296659759,No Charging
62,1.577777777777779,-0.003250296659759,No Charging
63,1.577777777777779,-0.003250296659759,No Charging
64,1.577777777777779,-0.003250296659759,No Charging
65,1.577777777777779,-0.003250296659759,No Charging
66,1.577777777777779,-0.003250296659759,No Charging
67,1.577777777777779,-0.003250296659759,No Charging
68,1.577777777777779,-0.003250296659759,No Charging
69,1.577777777777779,-0.003250296659759,No Charging
70,1.577777777777779,-0.003250296659759,No Charging
71,1.577777777777779,-0.003250296659759,No Charging
72,1.986873170794298,-0.0032364836951317578,No Charging
73,8.222222222222216,-0.00302594928835,No Charging
74,8.222222222222216,-0.00302594928835,No Charging
75,8.222222222222216,-0.00302594928835,No Charging
76,8.222222222222216,-0.00302594928835,No Charging
77,8.222222222222216,-0.00302594928835,No Charging
78,8.222222222222216,-0.00302594928835,No Charging
79,8.222222222222216,-0.00302594928835,No Charging
80,8.222222222222216,-0.00302594928835,No Charging
81,8.222222222222216,-0.00302594928835,No Charging
82,8.222222222222216,-0.00302594928835,No Charging
83,8.222222222222216,-0.00302594928835,No Charging
84,8.222222222222216,-0.00302594928835,No Charging
85,8.222222222222216,-0.00302594928835,No Charging
86,8.222222222222216,-0.00302594928835,No Charging
87,8.222222222222216,-0.00302594928835,No Charging
88,8.222222222222216,-0.00302594928835,No Charging
89,8.222222222222216,-0.00302594928835,No Charging
90,8.222222222222216,-0.00302594928835,No Charging
91,8.222222222222216,-0.00302594928835,No Charging
92,8.222222222222216,-0.00302594928835,No Charging
93,8.222222222222216,-0.00302594928835,No Charging
94,8.222222222222216,-0.00302594928835,No Charging
95,8.222222222222216,-0.00302594928835,No Charging
96,8.222222222222216,-0.00302594928835,No Charging
97,8.222222222222216,-0.007989936975691243,No Charging
98,8.222222222222216,-0.024113410496145,No Charging
99,8.222222222222216,-0.024113410496145,No Charging
100,8.222222222222216,-0.024113410496145,No Charging
101,4.339671565224963,-0.01528253354878019,No Charging
102,3.643055555555558,-0.013698077657685,No Charging
103,3.643055555555558,-0.013698077657685,No Charging
104,3.643055555555558,-0.013698077657685,No Charging
105,3.643055555555558,-0.013698077657685,No Charging
106,3.643055555555558,-0.013698077657685,No Charging
107,3.643055555555558,-0.013698077657685,No Charging
108,3.643055555555558,-0.013698077657685,No Charging
109,3.643055555555558,-0.013698077657685,No Charging
110,3.643055555555558,0.009885161160518666,No Charging
111,3.643055555555558,0.024888496410407,No Charging
112,3.643055555555558,0.024888496410407,No Charging
113,3.643055555555558,0.024888496410407,No Charging
114,3.643055555555558,0.024888496410407,No Charging
115,3.643055555555558,0.024888496410407,No Charging
116,3.643055555555558,0.024888496410407,No Charging
117,3.100506575817241,0.019610589245102793,No Charging
118,1.641666666666666,0.005419019641099,No Charging
119,1.641666666666666,0.005419019641099,No Charging
120,1.641666666666666,0.005419019641099,No Charging
121,1.641666666666666,0.005419019641099,No Charging
122,1.641666666666666,0.005419019641099,No Charging
123,1.641666666666666,0.005419019641099,No Charging
124,1.641666666666666,0.005419019641099,No Charging
125,1.641666666666666,0.005419019641099,No Charging
126,1.641666666666666,0.005419019641099,No Charging
127,1.641666666666666,0.005419019641099,No Charging
128,1.641666666666666,0.005419019641099,No Charging
129,1.641666666666666,0.005419019641099,No Charging
130,1.641666666666666,0.005419019641099,No Charging
131,1.641666666666666,0.005419019641099,No Charging
132,1.641666666666666,0.005419019641099,No Charging
133,1.641666666666666,0.005419019641099,No Charging
134,1.641666666666666,0.005419019641099,No Charging
135,1.641666666666666,0.005419019641099,No Charging
136,1.641666666666666,0.005419019641099,No Charging
137,1.641666666666666,0.005419019641099,No Charging
138,1.641666666666666,0.005419019641099,No Charging
139,1.641666666666666,0.005419019641099,No Charging
140,1.641666666666666,0.005419019641099,No Charging
141,1.641666666666666,0.005419019641099,No Charging
142,1.641666666666666,0.005419019641099,No Charging
143,1.641666666666666,0.005419019641099,No Charging
144,1.641666666666666,0.005419019641099,No Charging
145,1.641666666666666,0.005419019641099,No Charging
146,1.641666666666666,0.005419019641099,No Charging
147,1.641666666666666,0.005419019641099,No Charging
148,1.641666666666666,0.005419019641099,No Charging
149,1.641666666666666,0.005419019641099,No Charging
150,1.641666666666666,0.005419019641099,No Charging
151,1.641666666666666,0.005419019641099,No Charging
152,1.641666666666666,0.005419019641099,No Charging
153,1.641666666666666,0.005419019641099,No Charging
154,1.641666666666666,0.005419019641099,No Charging
155,1.641666666666666,0.005419019641099,No Charging
156,1.641666666666666,0.005419019641099,No Charging
157,1.641666666666666,0.005419019641099,No Charging
