Time (seconds),Speed,Grade,Road Type
0,12.5,-0.005657286299807,No Charging
1,12.5,-0.005657286299807,No Charging
2,12.5,-0.005657286299807,No Charging
3,12.5,-0.005657286299807,No Charging
4,12.5,-0.005657286299807,No Charging
5,12.5,-0.005657286299807,No Charging
6,12.5,-0.005657286299807,No Charging
7,12.5,-0.005657286299807,No Charging
8,7.769397050415677,-0.0018707675008917547,No Charging
9,0.572222222222223,0.003890070615617,No Charging
10,0.572222222222223,0.003890070615617,No Charging
11,0.572222222222223,0.003890070615617,No Charging
12,0.572222222222223,0.003890070615617,No Charging
13,0.572222222222223,0.003890070615617,No Charging
14,0.572222222222223,0.003890070615617,No Charging
15,0.572222222222223,0.003890070615617,No Charging
16,0.572222222222223,0.003890070615617,No Charging
17,0.572222222222223,0.003890070615617,No Charging
18,0.572222222222223,0.003890070615617,No Charging
19,0.572222222222223,0.003890070615617,No Charging
20,0.572222222222223,0.003890070615617,No Charging
21,0.572222222222223,0.003890070615617,No Charging
22,0.572222222222223,0.003890070615617,No Charging
23,0.572222222222223,0.003890070615617,No Charging
24,0.572222222222223,0.003890070615617,No Charging
25,0.572222222222223,0.003890070615617,No Charging
26,0.572222222222223,0.003890070615617,No Charging
27,0.572222222222223,0.003890070615617,No Charging
28,0.572222222222223,0.003890070615617,No Charging
29,0.572222222222223,0.003890070615617,No Charging
30,0.572222222222223,0.003890070615617,No Charging
31,0.572222222222223,0.003890070615617,No Charging
32,0.572222222222223,0.003890070615617,No Charging
33,0.572222222222223,0.003890070615617,No Charging
34,0.572222222222223,0.003890070615617,No Charging
35,0.572222222222223,0.003890070615617,No Charging
36,0.572222222222223,0.003890070615617,No Charging
37,0.572222222222223,0.003890070615617,No Charging
38,0.572222222222223,0.003890070615617,No Charging
39,0.572222222222223,0.003890070615617,No Charging
40,0.572222222222223,0.003890070615617,No Charging
41,0.572222222222223,0.003890070615617,No Charging
42,0.572222222222223,0.003890070615617,No Charging
43,0.572222222222223,0.003890070615617,No Charging
44,0.572222222222223,0.003890070615617,No Charging
45,0.572222222222223,0.003890070615617,No Charging
46,0.572222222222223,0.003890070615617,No Charging
47,0.572222222222223,0.003890070615617,No Charging
48,0.572222222222223,0.003890070615617,No Charging
49,0.572222222222223,0.003890070615617,No Charging
50,0.572222222222223,0.003890070615617,No Charging
51,0.572222222222223,0.003890070615617,No Charging
52,0.572222222222223,0.003890070615617,No Charging
53,0.572222222222223,0.003890070615617,No Charging
54,0.572222222222223,0.003890070615617,No Charging
55,0.572222222222223,0.003890070615617,No Charging
56,0.572222222222223,0.003890070615617,No Charging
57,0.572222222222223,0.003890070615617,No Charging
58,0.572222222222223,0.003890070615617,No Charging
59,0.572222222222223,0.003890070615617,No Charging
60,0.572222222222223,0.003890070615617,No Charging
61,0.572222222222223,0.003890070615617,No Charging
62,0.572222222222223,0.003890070615617,No Charging
63,0.572222222222223,0.003890070615617,No Charging
64,0.572222222222223,0.003890070615617,No Charging
65,0.572222222222223,0.003890070615617,No Charging
66,0.572222222222223,0.003890070615617,No Charging
67,0.572222222222223,0.003890070615617,No Charging
68,0.572222222222223,0.003890070615617,No Charging
69,0.572222222222223,0.003890070615617,No Charging
70,0.572222222222223,0.003890070615617,No Charging
71,0.572222222222223,0.003890070615617,No Charging
72,0.572222222222223,0.003890070615617,No Charging
73,0.572222222222223,0.003890070615617,No Charging
74,0.572222222222223,0.003890070615617,No Charging
75,0.572222222222223,0.003890070615617,No Charging
76,0.572222222222223,0.003890070615617,No Charging
77,0.572222222222223,0.003890070615617,No Charging
78,0.572222222222223,0.003890070615617,No Charging
79,0.572222222222223,0.003890070615617,No Charging
80,0.572222222222223,0.003890070615617,No Charging
81,0.572222222222223,0.003890070615617,No Charging
82,0.572222222222223,0.003890070615617,No Charging
83,0.572222222222223,0.003890070615617,No Charging
84,0.572222222222223,0.003890070615617,No Charging
85,0.572222222222223,0.003890070615617,No Charging
86,0.572222222222223,0.003890070615617,No Charging
87,0.572222222222223,0.003890070615617,No Charging
88,0.572222222222223,0.003890070615617,No Charging
89,0.572222222222223,0.003890070615617,No Charging
90,0.572222222222223,0.003890070615617,No Charging
91,0.572222222222223,0.003890070615617,No Charging
92,0.572222222222223,0.003890070615617,No Charging
93,0.572222222222223,0.003890070615617,No Charging
94,0.572222222222223,0.003890070615617,No Charging
95,0.572222222222223,0.003890070615617,No Charging
96,0.572222222222223,0.003890070615617,No Charging
97,0.572222222222223,0.003890070615617,No Charging
98,0.572222222222223,0.003890070615617,No Charging
99,0.572222222222223,0.003890070615617,No Charging
100,0.572222222222223,0.003890070615617,No Charging
101,0.572222222222223,0.003890070615617,No Charging
102,0.572222222222223,0.003890070615617,No Charging
103,0.572222222222223,0.003890070615617,No Charging
104,0.572222222222223,0.003890070615617,No Charging
105,0.572222222222223,0.003890070615617,No Charging
106,0.572222222222223,0.003890070615617,No Charging
107,0.572222222222223,0.003890070615617,No Charging
108,0.572222222222223,0.003890070615617,No Charging
109,0.572222222222223,0.003890070615617,No Charging
110,0.572222222222223,0.003890070615617,No Charging
111,0.572222222222223,0.003890070615617,No Charging
112,0.572222222222223,0.003890070615617,No Charging
113,0.572222222222223,0.003890070615617,No Charging
114,0.572222222222223,0.003890070615617,No Charging
115,0.572222222222223,0.003890070615617,No Charging
116,0.572222222222223,0.003890070615617,No Charging
117,0.572222222222223,0.003890070615617,No Charging
118,0.572222222222223,0.003890070615617,No Charging
119,0.572222222222223,0.003890070615617,No Charging
120,0.572222222222223,0.003890070615617,No Charging
121,0.572222222222223,0.003890070615617,No Charging
122,0.572222222222223,0.003890070615617,No Charging
123,0.572222222222223,0.003890070615617,No Charging
124,0.572222222222223,0.003890070615617,No Charging
125,0.572222222222223,0.003890070615617,No Charging
126,0.572222222222223,0.003890070615617,No Charging
127,0.572222222222223,0.003890070615617,No Charging
128,0.572222222222223,0.003890070615617,No Charging
129,0.572222222222223,0.003890070615617,No Charging
130,0.572222222222223,0.003890070615617,No Charging
131,0.572222222222223,0.003890070615617,No Charging
132,0.572222222222223,0.003890070615617,No Charging
133,0.572222222222223,0.003890070615617,No Charging
134,0.572222222222223,0.003890070615617,No Charging
135,0.572222222222223,0.003890070615617,No Charging
136,0.572222222222223,0.003890070615617,No Charging
137,0.572222222222223,0.003890070615617,No Charging
138,0.572222222222223,0.003890070615617,No Charging
139,0.572222222222223,0.003890070615617,No Charging
140,0.572222222222223,0.003890070615617,No Charging
141,0.572222222222223,0.003890070615617,No Charging
142,0.572222222222223,0.003890070615617,No Charging
143,0.572222222222223,0.003890070615617,No Charging
144,0.572222222222223,0.003890070615617,No Charging
145,0.572222222222223,0.003890070615617,No Charging
146,0.572222222222223,0.003890070615617,No Charging
147,0.572222222222223,0.003890070615617,No Charging
148,0.572222222222223,0.003890070615617,No Charging
149,0.572222222222223,0.003890070615617,No Charging
150,0.572222222222223,0.003890070615617,No Charging
151,0.572222222222223,0.003890070615617,No Charging
152,0.572222222222223,0.003890070615617,No Charging
153,0.572222222222223,0.003890070615617,No Charging
154,0.572222222222223,0.003890070615617,No Charging
155,0.572222222222223,0.003890070615617,No Charging
156,0.572222222222223,0.003890070615617,No Charging
157,0.572222222222223,0.003890070615617,No Charging
158,0.572222222222223,0.003890070615617,No Charging
159,0.572222222222223,0.003890070615617,No Charging
160,0.572222222222223,0.003890070615617,No Charging
161,0.572222222222223,0.003890070615617,No Charging
162,0.572222222222223,0.003890070615617,No Charging
163,0.572222222222223,0.003890070615617,No Charging
164,0.572222222222223,0.003890070615617,No Charging
165,0.572222222222223,0.003890070615617,No Charging
166,0.572222222222223,0.003890070615617,No Charging
167,0.572222222222223,0.003890070615617,No Charging
168,0.572222222222223,0.003890070615617,No Charging
169,0.572222222222223,0.003890070615617,No Charging
170,0.572222222222223,0.003890070615617,No Charging
171,0.572222222222223,0.003890070615617,No Charging
172,0.572222222222223,0.003890070615617,No Charging
173,0.572222222222223,0.003890070615617,No Charging
174,0.572222222222223,0.003890070615617,No Charging
175,0.572222222222223,0.003890070615617,No Charging
176,0.572222222222223,0.003890070615617,No Charging
177,0.572222222222223,0.003890070615617,No Charging
178,0.572222222222223,0.003890070615617,No Charging
