Time (seconds),Speed,Grade,Road Type
0,1.930555555555557,-0.049469106355027,No Charging
1,1.930555555555557,-0.049469106355027,No Charging
2,1.930555555555557,-0.049469106355027,No Charging
3,1.930555555555557,-0.049469106355027,No Charging
4,1.930555555555557,-0.049469106355027,No Charging
5,1.930555555555557,-0.049469106355027,No Charging
6,1.930555555555557,-0.049469106355027,No Charging
7,1.930555555555557,-0.049469106355027,No Charging
8,1.930555555555557,-0.049469106355027,No Charging
9,1.930555555555557,-0.049469106355027,No Charging
10,1.930555555555557,-0.049469106355027,No Charging
11,1.930555555555557,-0.049469106355027,No Charging
12,1.930555555555557,-0.049469106355027,No Charging
13,1.930555555555557,-0.049469106355027,No Charging
14,1.930555555555557,-0.049469106355027,No Charging
15,1.930555555555557,-0.049469106355027,No Charging
16,1.930555555555557,-0.049469106355027,No Charging
17,1.930555555555557,-0.049469106355027,No Charging
18,1.930555555555557,-0.049469106355027,No Charging
19,1.930555555555557,-0.049469106355027,No Charging
20,1.930555555555557,-0.049469106355027,No Charging
21,1.930555555555557,-0.049469106355027,No Charging
22,1.930555555555557,-0.049469106355027,No Charging
23,1.930555555555557,-0.049469106355027,No Charging
24,1.930555555555557,-0.049469106355027,No Charging
25,1.930555555555557,-0.049469106355027,No Charging
26,2.4008231123777732,-0.03298520124133989,No Charging
27,2.535978835978836,-0.028247697896507,No Charging
28,2.535978835978836,-0.028247697896507,No Charging
29,2.535978835978836,-0.028247697896507,No Charging
30,2.535978835978836,-0.028247697896507,No Charging
31,2.535978835978836,-0.028247697896507,No Charging
32,2.535978835978836,-0.028247697896507,No Charging
33,2.535978835978836,-0.028247697896507,No Charging
34,2.535978835978836,-0.028247697896507,No Charging
35,2.535978835978836,-0.028247697896507,No Charging
36,2.535978835978836,-0.028247697896507,No Charging
37,2.535978835978836,-0.028247697896507,No Charging
38,2.535978835978836,-0.028247697896507,No Charging
39,2.535978835978836,-0.028247697896507,No Charging
40,2.535978835978836,-0.028247697896507,No Charging
41,2.535978835978836,-0.028247697896507,No Charging
42,2.535978835978836,-0.028247697896507,No Charging
43,2.535978835978836,-0.028247697896507,No Charging
